プラットフォーム,ファイル名,コンテンツ,実績,情報提供料合計,年月,処理日時
au,SalesSummary_202503_OWD_detail.csv,OWD_enseisyu_01,1000,400.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_chazz_01,1300,520.0,202503,2025-07-16 17:41:37
au,SalesSummary_202503_OWD_detail.csv,OWD_keiko_03,100,37.0,202503,2025-07-16 17:41:37
au合計,SalesSummary_202503_OWD_detail.csv,合計,82000,30994,202503,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_shape_01,27600,10248.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_mokuren_01,1500,562.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_isha_01,2300,862.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_tsukikage_01,8100,3147.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_Milla_01,4800,1799.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_koyanagi_01,5000,1875.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_chiki_01,4950,1854.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_rumikoi_01,3200,1230.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_ophelia_01,1000,387.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_keiko_04,2200,845.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_chazz_01,3500,1312.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_macalon_01,8300,3223.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_yuki_01,3600,1380.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_miku_02,900,337.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_shintaku_01,1300,487.0,202504,2025-07-16 17:41:37
