番組ID,実績,CP売上負担額合計,情報提供料合計,ファイル名
OWD_klara_01,700,18,262.0,SalesSummary_202506_OWD_detail.csv
OWD_koike_01,1600,41,599.0,SalesSummary_202506_OWD_detail.csv
OWD_koyanagi_01,3400,55,1305.0,SalesSummary_202506_OWD_detail.csv
OWD_macalon_01,6100,145,2295.0,SalesSummary_202506_OWD_detail.csv
OWD_matsuyama_01,3900,99,1461.0,SalesSummary_202506_OWD_detail.csv
OWD_mermaid_01,2200,56,824.0,SalesSummary_202506_OWD_detail.csv
OWD_mokuren_01,2300,58,862.0,SalesSummary_202506_OWD_detail.csv
OWD_narusawa_01,1300,33,487.0,SalesSummary_202506_OWD_detail.csv
OWD_ophelia_01,2600,65,975.0,SalesSummary_202506_OWD_detail.csv
OWD_rumikoi_01,3200,50,1230.0,SalesSummary_202506_OWD_detail.csv
OWD_shape_01,16100,526,5914.0,SalesSummary_202506_OWD_detail.csv
OWD_shintaku_01,1200,30,450.0,SalesSummary_202506_OWD_detail.csv
OWD_suehiro_01,1800,20,700.0,SalesSummary_202506_OWD_detail.csv
OWD_sugano_02,3000,76,1124.0,SalesSummary_202506_OWD_detail.csv
OWD_tachibana_01,1300,33,487.0,SalesSummary_202506_OWD_detail.csv
OWD_tomoko_01,2200,55,825.0,SalesSummary_202506_OWD_detail.csv
OWD_tshourei_01,1500,13,587.0,SalesSummary_202506_OWD_detail.csv
OWD_yamasakirie_01,1200,30,450.0,SalesSummary_202506_OWD_detail.csv
OWD_yuki_01,800,20,300.0,SalesSummary_202506_OWD_detail.csv
OWD_Milla_01,5500,139,2061.0,SalesSummary_202401_OWD_detail.csv
OWD_aokitomo_01,4900,123,1837.0,SalesSummary_202401_OWD_detail.csv
OWD_aron_01,9600,211,3629.0,SalesSummary_202401_OWD_detail.csv
OWD_asuru_01,2200,54,826.0,SalesSummary_202401_OWD_detail.csv
OWD_enseisyu_01,5400,285,1875.0,SalesSummary_202401_OWD_detail.csv
OWD_eremaria_01,2000,50,750.0,SalesSummary_202401_OWD_detail.csv
OWD_fujita_01,7200,105,2775.0,SalesSummary_202401_OWD_detail.csv
OWD_hayuki_01,1000,25,375.0,SalesSummary_202401_OWD_detail.csv
OWD_houjo_01,1500,38,562.0,SalesSummary_202401_OWD_detail.csv
OWD_ikai_01,3400,280,1080.0,SalesSummary_202401_OWD_detail.csv
OWD_isha_01,5340,136,2000.0,SalesSummary_202401_OWD_detail.csv
OWD_kairi_01,2500,63,937.0,SalesSummary_202401_OWD_detail.csv
OWD_kanon_01,3000,75,1125.0,SalesSummary_202401_OWD_detail.csv
OWD_kasya_01,800,20,300.0,SalesSummary_202401_OWD_detail.csv
OWD_keiko_01,57000,1395,21405.0,SalesSummary_202401_OWD_detail.csv
OWD_keiko_03,9400,283,3477.0,SalesSummary_202401_OWD_detail.csv
OWD_keiko_04,7400,186,2774.0,SalesSummary_202401_OWD_detail.csv
OWD_koike_01,8800,224,3296.0,SalesSummary_202401_OWD_detail.csv
OWD_koyanagi_01,7200,130,2750.0,SalesSummary_202401_OWD_detail.csv
OWD_macalon_01,13200,366,4914.0,SalesSummary_202401_OWD_detail.csv
OWD_mermaid_01,3500,88,1312.0,SalesSummary_202401_OWD_detail.csv
OWD_mian_01,1200,120,360.0,SalesSummary_202401_OWD_detail.csv
OWD_mikomaria_01,800,20,300.0,SalesSummary_202401_OWD_detail.csv
OWD_miku_02,10800,655,3665.0,SalesSummary_202401_OWD_detail.csv
OWD_narusawa_01,6300,159,2361.0,SalesSummary_202401_OWD_detail.csv
OWD_niutouko_01,2200,55,825.0,SalesSummary_202401_OWD_detail.csv
OWD_okada_01,2800,55,1065.0,SalesSummary_202401_OWD_detail.csv
OWD_ophelia_01,3800,83,1437.0,SalesSummary_202401_OWD_detail.csv
OWD_shape_01,29600,643,11197.0,SalesSummary_202401_OWD_detail.csv
OWD_suehiro_01,800,20,300.0,SalesSummary_202401_OWD_detail.csv
OWD_sugano_02,2000,50,750.0,SalesSummary_202401_OWD_detail.csv
OWD_tachibana_01,2600,0,1040.0,SalesSummary_202401_OWD_detail.csv
OWD_tshourei_01,2600,46,994.0,SalesSummary_202401_OWD_detail.csv
OWD_tsukikage_01,4800,120,1800.0,SalesSummary_202401_OWD_detail.csv
OWD_yamasakirie_01,6300,159,2361.0,SalesSummary_202401_OWD_detail.csv
OWD_ychigumi_01,1000,25,375.0,SalesSummary_202401_OWD_detail.csv
OWD_yuki_01,3000,77,1123.0,SalesSummary_202401_OWD_detail.csv
OWD_Milla_01,14800,266,5654.0,SalesSummary_202402_OWD_detail.csv
